OCC_MONTH,OCC_DOW,OCC_YEAR,OCC_HOUR,DIVISION,FATALITIES,INJURY_COLLISIONS,FTR_COLLISIONS,PD_COLLISIONS,HOOD_158,NEIGHBOURHOOD_158,LONG_WGS84,LAT_WGS84,AUTOMOBILE,MOTORCYCLE,PASSENGER,BICYCLE,PEDESTRIAN
January,Sunday,2021,13,D23,,YES,NO,NO,005,Elms-Old Rexdale (5),-79.5559811336446,43.71696275341367,1,0,0,0,0
January,Sunday,2021,13,D11,,NO,NO,YES,171,Junction-Wallace Emerson (171),-79.44230242200905,43.6689814214509,1,0,0,0,0
January,Sunday,2021,17,D32,,NO,NO,YES,034,Bathurst Manor (34),-79.43845112728326,43.755455974900755,1,0,0,0,0
January,Sunday,2021,18,D43,,YES,YES,NO,136,West Hill (136),-79.18972080508038,43.767653896048635,1,0,0,0,1
January,Sunday,2021,21,D13,,NO,NO,YES,107,Oakwood Village (107),-79.43738061014797,43.68655869027344,1,0,0,0,0
January,Sunday,2021,11,D13,,NO,NO,YES,096,Casa Loma (96),-79.41589533777751,43.68369602277462,1,0,0,0,0
January,Sunday,2021,13,D42,,NO,NO,YES,128,Agincourt South-Malvern West (128),-79.28128489763773,43.775443340618324,1,0,0,0,0
January,Sunday,2021,17,D43,,NO,YES,YES,135,Morningside (135),-79.20496340611702,43.78259619621601,1,0,0,0,0
January,Sunday,2021,16,D51,,NO,NO,YES,071,Cabbagetown-South St.James Town (71),-79.36881596398013,43.67332251571755,1,0,0,0,0
January,Sunday,2021,17,D43,,NO,YES,NO,138,Eglinton East (138),-79.23931415815785,43.74059587949426,1,0,0,0,0
January,Sunday,2021,21,D13,,NO,NO,YES,109,Caledonia-Fairbank (109),-79.4481386049543,43.685040190736785,1,0,0,0,0
January,Sunday,2021,20,D51,,NO,NO,YES,166,St Lawrence-East Bayfront-The Islands (166),-79.3627214569264,43.651562990666605,1,0,0,0,0
January,Sunday,2021,9,D51,,NO,NO,YES,168,Downtown Yonge East (168),-79.37269015055186,43.652376591480255,1,0,0,0,0
January,Sunday,2021,11,D42,,NO,NO,YES,148,East L'Amoreaux (148),-79.31575388981902,43.79676839792209,1,0,1,0,0
January,Sunday,2021,11,D14,,NO,YES,YES,165,Harbourfront-CityPlace (165),-79.39836063387837,43.64029857940229,1,0,0,0,0
January,Sunday,2021,11,D12,,NO,NO,YES,030,Brookhaven-Amesbury (30),-79.50231965666266,43.69758756315365,1,0,0,0,0
January,Sunday,2021,15,D11,,NO,NO,YES,090,Junction Area (90),-79.46759501770863,43.672467741215,1,0,0,0,0
January,Sunday,2021,0,D23,,NO,NO,YES,001,West Humber-Clairville (1),-79.61991068836616,43.72358251276215,1,0,0,0,0
January,Sunday,2021,8,D53,,NO,NO,YES,103,Lawrence Park South (103),-79.41544092048134,43.7052439827667,1,0,0,0,0
January,Sunday,2021,15,D11,,NO,NO,YES,171,Junction-Wallace Emerson (171),-79.44272491909648,43.658353711700094,1,0,0,0,0
January,Sunday,2021,14,D22,,NO,NO,YES,016,Stonegate-Queensway (16),-79.50592582354352,43.62228998062139,1,0,0,0,0
January,Sunday,2021,17,D12,,NO,NO,YES,111,Rockcliffe-Smythe (111),-79.49568559706543,43.676197817661105,1,0,0,0,0
January,Sunday,2021,1,D32,,NO,NO,YES,031,Yorkdale-Glen Park (31),-79.45239691868379,43.714348256200424,1,0,0,0,0
January,Sunday,2021,14,D14,,NO,NO,YES,172,Dovercourt Village (172),-79.43393272565908,43.66944961979764,1,0,0,0,0
January,Sunday,2021,19,D33,,NO,NO,YES,042,Banbury-Don Mills (42),-79.33948131895013,43.723018138008804,1,0,0,0,0
January,Sunday,2021,15,D13,,NO,YES,NO,108,Briar Hill-Belgravia (108),-79.45117478443372,43.69549906654451,1,0,0,0,0
January,Sunday,2021,10,D14,,NO,NO,YES,095,Annex (95),-79.41435583681641,43.67315021937087,1,0,0,0,0
January,Sunday,2021,13,D42,,NO,NO,YES,146,Malvern East (146),-79.21119838528946,43.8118543192951,1,0,0,0,0
January,Sunday,2021,16,D55,,NO,NO,YES,057,Broadview North (57),-79.35657220082743,43.68521377598518,1,0,0,0,0
January,Sunday,2021,13,D33,,NO,NO,YES,150,Fenside-Parkwoods (150),-79.32501386687734,43.76133302065415,1,0,0,0,0
January,Sunday,2021,10,D42,,YES,NO,NO,145,Malvern West (145),-79.2266994744587,43.8051975056655,1,0,1,0,0
January,Sunday,2021,18,D55,,NO,NO,YES,062,East End-Danforth (62),-79.2892610556522,43.6803500374317,1,0,0,0,0
January,Sunday,2021,15,D31,,NO,NO,YES,154,Oakdale-Beverley Heights (154),-79.50815284351047,43.71907494643953,1,0,0,0,0
January,Sunday,2021,15,D32,,NO,NO,YES,038,Lansing-Westgate (38),-79.41373591006682,43.757437988405265,1,0,0,0,0
January,Sunday,2021,15,D22,,NO,NO,YES,016,Stonegate-Queensway (16),-79.502621715766,43.6263327083827,1,0,0,0,0
January,Sunday,2021,19,D51,,NO,YES,NO,073,Moss Park (73),-79.36399905707277,43.654557193660864,1,0,0,0,0
January,Sunday,2021,13,D55,,NO,NO,YES,068,North Riverdale (68),-79.35102888221445,43.671126330538705,1,0,1,0,0
January,Sunday,2021,10,D41,,NO,NO,YES,119,Wexford/Maryvale (119),-79.28242039514882,43.73212936349117,1,0,0,0,0
January,Sunday,2021,16,D14,,NO,NO,YES,080,Palmerston-Little Italy (80),-79.42088902793036,43.66301980908665,1,0,0,0,0
January,Sunday,2021,16,D31,,NO,NO,YES,027,York University Heights (27),-79.52139740958275,43.77323597873821,1,0,0,0,0
January,Monday,2021,14,D23,,YES,NO,NO,008,Humber Heights-Westmount (8),-79.53422265626116,43.69984447530077,1,0,0,0,0
January,Monday,2021,19,D32,,YES,NO,NO,050,Newtonbrook East (50),-79.41900362404901,43.79380561049123,1,0,0,0,0
January,Monday,2021,5,D14,,NO,NO,YES,164,Wellington Place (164),-79.40268203243795,43.643918783916604,1,0,0,0,0
January,Monday,2021,18,D42,,YES,NO,NO,144,Morningside Heights (144),-79.20638328847622,43.81333362243865,1,0,0,0,1
January,Monday,2021,18,D55,,YES,NO,NO,062,East End-Danforth (62),-79.30497974905798,43.68747502442921,1,0,1,0,0
January,Monday,2021,18,D55,,NO,NO,YES,062,East End-Danforth (62),-79.30497974905798,43.68747502442921,1,0,0,0,0
January,Monday,2021,21,D42,,NO,NO,YES,128,Agincourt South-Malvern West (128),-79.2784971064416,43.78536695369176,1,0,1,0,0
January,Monday,2021,10,D23,,YES,NO,NO,001,West Humber-Clairville (1),-79.58522279303398,43.714760912883285,1,0,0,0,0
January,Monday,2021,21,D22,,NO,YES,NO,161,Humber Bay Shores (161),-79.48325661690977,43.620507777380844,1,0,0,0,0
January,Monday,2021,21,D14,,NO,NO,YES,095,Annex (95),-79.40864393656943,43.665669710008395,1,0,0,0,0
January,Monday,2021,23,D32,,NO,NO,YES,050,Newtonbrook East (50),-79.4155662486542,43.779764396334784,1,0,0,0,0
January,Monday,2021,16,D22,,NO,NO,YES,019,Long Branch (19),-79.54282374460124,43.59231546720728,1,0,0,0,0
January,Monday,2021,21,D42,,NO,YES,NO,130,Milliken (130),-79.2949212085063,43.82070312429705,1,0,0,0,0
January,Monday,2021,19,D11,,NO,NO,YES,090,Junction Area (90),-79.46379782345963,43.663654048128755,1,0,0,0,0
January,Monday,2021,18,D32,,NO,YES,NO,032,Englemount-Lawrence (32),-79.43332428343889,43.719406160333115,1,0,0,0,0
January,Monday,2021,16,D41,,NO,NO,YES,119,Wexford/Maryvale (119),-79.30002947862602,43.75846622784473,1,0,0,0,0
January,Monday,2021,20,D43,,NO,NO,YES,136,West Hill (136),-79.18972080508038,43.767653896048635,1,0,0,0,0
January,Monday,2021,18,D33,,NO,NO,YES,042,Banbury-Don Mills (42),-79.32964024221637,43.73996091770656,1,0,1,0,0
January,Monday,2021,17,D12,,NO,NO,YES,029,Maple Leaf (29),-79.48011533737879,43.71786814751197,1,0,0,0,0
January,Monday,2021,2,D33,,NO,NO,YES,053,Henry Farm (53),-79.34459195690874,43.77357091543586,1,0,0,0,0
January,Monday,2021,16,D31,,NO,NO,YES,021,Humber Summit (21),-79.55808850823011,43.75528789934136,1,0,0,0,0
January,Monday,2021,11,D53,,NO,NO,YES,055,Thorncliffe Park (55),-79.36178060666835,43.70612627669638,1,0,0,0,0
January,Monday,2021,5,D31,,NO,NO,YES,025,Glenfield-Jane Heights (25),-79.51602171295097,43.75072678045188,1,0,0,0,0
January,Monday,2021,16,D43,,NO,NO,YES,136,West Hill (136),-79.18685400793791,43.77050679597814,1,0,0,0,0
January,Monday,2021,12,D22,,NO,NO,YES,159,Etobicoke City Centre (159),-79.54940458574849,43.62047020857431,1,0,0,0,0
January,Monday,2021,6,D31,,NO,YES,NO,027,York University Heights (27),-79.49104229993728,43.76349715607369,1,0,0,0,0
January,Monday,2021,3,D22,,NO,YES,NO,020,Alderwood (20),-79.54380518550252,43.611887602770096,1,0,0,0,0
January,Monday,2021,4,D31,,NO,NO,YES,021,Humber Summit (21),-79.53629300361843,43.75335618746698,1,0,0,0,0
January,Monday,2021,14,D52,,NO,NO,YES,170,Yonge-Bay Corridor (170),-79.39035214362231,43.65989239899617,1,0,0,0,0
January,Monday,2021,13,D22,,NO,NO,YES,158,Islington (158),-79.53678079261083,43.645045953212225,1,0,0,0,0
January,Monday,2021,7,D14,,NO,NO,YES,085,South Parkdale (85),-79.4333018222314,43.63373207851324,1,0,0,0,0
January,Monday,2021,14,D43,,NO,NO,YES,143,West Rouge (143),-79.14049466273755,43.788756563849425,1,0,0,0,0
January,Monday,2021,13,D41,,NO,NO,YES,119,Wexford/Maryvale (119),-79.31210437443856,43.74883302608374,1,0,0,0,0
January,Monday,2021,7,D14,,NO,NO,YES,095,Annex (95),-79.41435583681641,43.67315021937087,1,0,0,0,0
January,Monday,2021,4,D33,,YES,NO,NO,048,Hillcrest Village (48),-79.35806283641195,43.79195734157647,1,0,1,0,0
January,Monday,2021,12,D32,,YES,NO,NO,039,Bedford Park-Nortown (39),-79.43012239043763,43.720793861938986,1,0,0,0,0
January,Monday,2021,13,D51,,NO,NO,YES,073,Moss Park (73),-79.37234885050398,43.65155039065402,1,0,0,0,0
January,Monday,2021,11,D55,,NO,NO,YES,060,Woodbine-Lumsden (60),-79.31742214216113,43.696437607346894,1,0,0,0,0
January,Monday,2021,10,D43,,NO,NO,YES,141,Golfdale-Cedarbrae-Woburn (141),-79.22523617460678,43.75982960503854,1,0,0,0,0
